Region,Gender,Speaker label,Word,Vowel Phoneme,Class Number,Formant 1,Formant 2,Formant 3
crn_001,F,cxc001,Heed,IY,1,380,2731,3214
crn_001,F,cxc001,had,AE,2,1023,1563,2222
crn_001,F,cxc001,hood,UH,3,484,1392,2562
crn_001,F,dmc001,Heed,IY,1,406,2763,3062
crn_001,F,dmc001,had,AE,2,741,1704,2609
crn_001,F,dmc001,hood,UH,3,420,1679,2881
crn_001,F,ejr001,Heed,IY,1,340,2836,2989
crn_001,F,ejr001,had,AE,2,1014,1720,2779
crn_001,F,ejr001,hood,UH,3,432,1364,2531
crn_001,F,exc001,Heed,IY,1,277,2808,3240
crn_001,F,exc001,had,AE,2,949,1606,2417
crn_001,F,exc001,hood,UH,3,581,1439,2837
crn_001,F,jmc003,Heed,IY,1,367,2683,3191
crn_001,F,jmc003,had,AE,2,874,1717,3003
crn_001,F,jmc003,hood,UH,3,597,1701,2692
crn_001,M,acr001,Heed,IY,1,945,2447,3060
crn_001,M,acr001,had,AE,2,824,1656,2470
crn_001,M,acr001,hood,UH,3,645,1664,2778
crn_001,M,bxp001,Heed,IY,1,275,2477,2920
crn_001,M,bxp001,had,AE,2,866,1700,2667
crn_001,M,bxp001,hood,UH,3,832,2457,3330
crn_001,M,cgm001,Heed,IY,1,184,2636,2963
crn_001,M,cgm001,had,AE,2,868,1438,2506
crn_001,M,cgm001,hood,UH,3,724,1837,2867
crn_001,M,cxg001,Heed,IY,1,251,2322,3154
crn_001,M,cxg001,had,AE,2,900,1485,2433
crn_001,M,cxg001,hood,UH,3,813,1992,2820
crn_001,M,ejd001,Heed,IY,1,233,2286,3072
crn_001,M,ejd001,had,AE,2,753,1686,2593
crn_001,M,ejd001,hood,UH,3,1185,2289,3024
eyk_001,F,edc001,Heed,IY,1,355,2719,3023
eyk_001,F,edc001,had,AE,2,975,1642,2729
eyk_001,F,edc001,hood,UH,3,555,1203,2671
eyk_001,F,hxc001,Heed,IY,1,308,3064,3271
eyk_001,F,hxc001,had,AE,2,1066,1766,2882
eyk_001,F,hxc001,hood,UH,3,582,1564,2900
eyk_001,F,jat001,Heed,IY,1,339,2737,3162
eyk_001,F,jat001,had,AE,2,920,1790,2723
eyk_001,F,jat001,hood,UH,3,400,931,3085
eyk_001,F,jfj001,Heed,IY,1,410,2943,3516
eyk_001,F,jfj001,had,AE,2,983,1817,2898
eyk_001,F,jfj001,hood,UH,3,434,1155,2666
eyk_001,F,sjf001,Heed,IY,1,413,2530,3018
eyk_001,F,sjf001,had,AE,2,950,1586,2731
eyk_001,F,sjf001,hood,UH,3,583,1403,2953
eyk_001,M,ajt001,Heed,IY,1,304,2272,2883
eyk_001,M,ajt001,had,AE,2,804,1446,2600
eyk_001,M,ajt001,hood,UH,3,318,1043,2536
eyk_001,M,axc001,Heed,IY,1,198,2379,3052
eyk_001,M,axc001,had,AE,2,829,1590,2456
eyk_001,M,axc001,hood,UH,3,545,1309,2716
eyk_001,M,ccw001,Heed,IY,1,301,2566,3097
eyk_001,M,ccw001,had,AE,2,750,1404,2701
eyk_001,M,ccw001,hood,UH,3,470,1342,2509
eyk_001,M,dps001,Heed,IY,1,295,2143,2659
eyk_001,M,dps001,had,AE,2,873,1478,2065
eyk_001,M,dps001,hood,UH,3,885,2000,3242
eyk_001,M,dwc001,Heed,IY,1,275,2444,2737
eyk_001,M,dwc001,had,AE,2,783,1438,2359
eyk_001,M,dwc001,hood,UH,3,391,1266,2835
gla_001,F,aud001,Heed,IY,1,335,2856,3416
gla_001,F,aud001,had,AE,2,963,1661,3128
gla_001,F,aud001,hood,UH,3,572,1851,2797
gla_001,F,fmb001,Heed,IY,1,303,2835,3318
gla_001,F,fmb001,had,AE,2,812,1793,3052
gla_001,F,fmb001,hood,UH,3,443,2023,2996
gla_001,F,jec001,Heed,IY,1,311,2868,3321
gla_001,F,jec001,had,AE,2,918,1643,2664
gla_001,F,jec001,hood,UH,3,419,2109,2788
gla_001,F,joh001,Heed,IY,1,359,2665,3118
gla_001,F,joh001,had,AE,2,889,1520,2821
gla_001,F,joh001,hood,UH,3,504,1862,2592
gla_001,F,kam001,Heed,IY,1,341,2950,3173
gla_001,F,kam001,had,AE,2,915,1746,2798
gla_001,F,kam001,hood,UH,3,406,2028,2772
gla_001,M,gty001,Heed,IY,1,280,2154,3058
gla_001,M,gty001,had,AE,2,738,1401,2763
gla_001,M,gty001,hood,UH,3,473,1827,2633
gla_001,M,iwd001,Heed,IY,1,1924,2959,3551
