Speaker label,Gender,Word,Vowel Phoneme,Class Number,Formant 1,Formant 2,Formant 3
brm_alw001,female,heed,IY,1, 390, 2833, 3456
brm_alw001,female,head,EH,2, 729, 2274, 3166
brm_alw001,female,hard,AA,3,None,None,None
brm_cxb001,female,heed,IY,1,None,None,None
brm_cxb001,female,head,EH,2,None,None,None
brm_cxb001,female,hard,AA,3,None,None,None
brm_jah001,female,heed,IY,1,None,None,None
brm_jah001,female,head,EH,2,None,None,None
brm_jah001,female,hard,AA,3,None,None,None
brm_jep001,female,heed,IY,1,None,None,None
brm_jep001,female,head,EH,2,None,None,None
brm_jep001,female,hard,AA,3,None,None,None
brm_knb001,female,heed,IY,1,None,None,None
brm_knb001,female,head,EH,2,None,None,None
brm_knb001,female,hard,AA,3,None,None,None
brm_apd001,male,heed,IY,1,None,None,None
brm_apd001,male,head,EH,2,None,None,None
brm_apd001,male,hard,AA,3,None,None,None
brm_ars001,male,heed,IY,1,None,None,None
brm_ars001,male,head,EH,2,None,None,None
brm_ars001,male,hard,AA,3,None,None,None
brm_axm001,male,heed,IY,1,None,None,None
brm_axm001,male,head,EH,2,None,None,None
brm_axm001,male,hard,AA,3,None,None,None
brm_ikp001,male,heed,IY,1,None,None,None
brm_ikp001,male,head,EH,2,None,None,None
brm_ikp001,male,hard,AA,3,None,None,None
brm_ixj001,male,heed,IY,1,None,None,None
brm_ixj001,male,head,EH,2,None,None,None
brm_ixj001,male,hard,AA,3,None,None,None
crn_cxc001,female,heed,IY,1,None,None,None
crn_cxc001,female,head,EH,2,None,None,None
crn_cxc001,female,hard,AA,3,None,None,None
crn_dmc001,female,heed,IY,1,None,None,None
crn_dmc001,female,head,EH,2,None,None,None
crn_dmc001,female,hard,AA,3,None,None,None
crn_ejr001,female,heed,IY,1,None,None,None
crn_ejr001,female,head,EH,2,None,None,None
crn_ejr001,female,hard,AA,3,None,None,None
crn_exc001,female,heed,IY,1,None,None,None
crn_exc001,female,head,EH,2,None,None,None
crn_exc001,female,hard,AA,3,None,None,None
crn_jmc003,female,heed,IY,1,None,None,None
crn_jmc003,female,head,EH,2,None,None,None
crn_jmc003,female,hard,AA,3,None,None,None
crn_acr001,male,heed,IY,1,None,None,None
crn_acr001,male,head,EH,2,None,None,None
crn_acr001,male,hard,AA,3,None,None,None
crn_bxp001,male,heed,IY,1,None,None,None
crn_bxp001,male,head,EH,2,None,None,None
crn_bxp001,male,hard,AA,3,None,None,None
crn_cgm001,male,heed,IY,1,None,None,None
crn_cgm001,male,head,EH,2,None,None,None
crn_cgm001,male,hard,AA,3,None,None,None
crn_cxg001,male,heed,IY,1,None,None,None
crn_cxg001,male,head,EH,2,None,None,None
crn_cxg001,male,hard,AA,3,None,None,None
crn_ejd001,male,heed,IY,1,None,None,None
crn_ejd001,male,head,EH,2,None,None,None
crn_ejd001,male,hard,AA,3,None,None,None
ean_ald001,female,heed,IY,1,None,None,None
ean_ald001,female,head,EH,2,None,None,None
ean_ald001,female,hard,AA,3,None,None,None
ean_cxb002,female,heed,IY,1,None,None,None
ean_cxb002,female,head,EH,2,None,None,None
ean_cxb002,female,hard,AA,3,None,None,None
ean_dab001,female,heed,IY,1,None,None,None
ean_dab001,female,head,EH,2,None,None,None
ean_dab001,female,hard,AA,3,None,None,None
ean_hjl001,female,heed,IY,1,None,None,None
ean_hjl001,female,head,EH,2,None,None,None
ean_hjl001,female,hard,AA,3,None,None,None
ean_jkb001,female,heed,IY,1,None,None,None
ean_jkb001,female,head,EH,2,None,None,None
ean_jkb001,female,hard,AA,3,None,None,None
ean_asp001,male,heed,IY,1,None,None,None
ean_asp001,male,head,EH,2,None,None,None
ean_asp001,male,hard,AA,3,None,None,None
ean_baj001,male,heed,IY,1,None,None,None
ean_baj001,male,head,EH,2,None,None,None
ean_baj001,male,hard,AA,3,None,None,None
ean_htl001,male,heed,IY,1,None,None,None
ean_htl001,male,head,EH,2,None,None,None
ean_htl001,male,hard,AA,3,None,None,None
ean_ifp001,male,heed,IY,1,None,None,None
ean_ifp001,male,head,EH,2,None,None,None
ean_ifp001,male,hard,AA,3,None,None,None
ean_kxk001,male,heed,IY,1,None,None,None
ean_kxk001,male,head,EH,2,None,None,None
ean_kxk001,male,hard,AA,3,None,None,None
eyk_cet001,female,heed,IY,1,None,None,None
eyk_cet001,female,head,EH,2,None,None,None
eyk_cet001,female,hard,AA,3,None,None,None
eyk_edc001,female,heed,IY,1,None,None,None
eyk_edc001,female,head,EH,2,None,None,None
eyk_edc001,female,hard,AA,3,None,None,None
eyk_hxc001,female,heed,IY,1,None,None,None
eyk_hxc001,female,head,EH,2,None,None,None
eyk_hxc001,female,hard,AA,3,None,None,None
eyk_jat001,female,heed,IY,1,None,None,None
eyk_jat001,female,head,EH,2,None,None,None
eyk_jat001,female,hard,AA,3,None,None,None
eyk_jfj001,female,heed,IY,1,None,None,None
eyk_jfj001,female,head,EH,2,None,None,None
eyk_jfj001,female,hard,AA,3,None,None,None
eyk_ajt001,male,heed,IY,1,None,None,None
eyk_ajt001,male,head,EH,2,None,None,None
eyk_ajt001,male,hard,AA,3,None,None,None
eyk_axc001,male,heed,IY,1,None,None,None
eyk_axc001,male,head,EH,2,None,None,None
eyk_axc001,male,hard,AA,3,None,None,None
eyk_ccw001,male,heed,IY,1,None,None,None
eyk_ccw001,male,head,EH,2,None,None,None
eyk_ccw001,male,hard,AA,3,None,None,None
eyk_dps001,male,heed,IY,1,None,None,None
eyk_dps001,male,head,EH,2,None,None,None
eyk_dps001,male,hard,AA,3,None,None,None
eyk_dwc001,male,heed,IY,1,None,None,None
eyk_dwc001,male,head,EH,2,None,None,None
eyk_dwc001,male,hard,AA,3,None,None,None
gla_aud001,female,heed,IY,1,None,None,None
gla_aud001,female,head,EH,2,None,None,None
gla_aud001,female,hard,AA,3,None,None,None
gla_fmb001,female,heed,IY,1,None,None,None
gla_fmb001,female,head,EH,2,None,None,None
gla_fmb001,female,hard,AA,3,None,None,None
gla_jec001,female,heed,IY,1,None,None,None
gla_jec001,female,head,EH,2,None,None,None
gla_jec001,female,hard,AA,3,None,None,None
gla_joh001,female,heed,IY,1,None,None,None
gla_joh001,female,head,EH,2,None,None,None
gla_joh001,female,hard,AA,3,None,None,None
gla_kam001,female,heed,IY,1,None,None,None
gla_kam001,female,head,EH,2,None,None,None
gla_kam001,female,hard,AA,3,None,None,None
gla_gty001,male,heed,IY,1,None,None,None
gla_gty001,male,head,EH,2,None,None,None
gla_gty001,male,hard,AA,3,None,None,None
gla_iwd001,male,heed,IY,1,None,None,None
gla_iwd001,male,head,EH,2,None,None,None
gla_iwd001,male,hard,AA,3,None,None,None
gla_jmc002,male,heed,IY,1,None,None,None
gla_jmc002,male,head,EH,2,None,None,None
gla_jmc002,male,hard,AA,3,None,None,None
gla_ljg001,male,heed,IY,1,None,None,None
gla_ljg001,male,head,EH,2,None,None,None
gla_ljg001,male,hard,AA,3,None,None,None
gla_rac001,male,heed,IY,1,None,None,None
gla_rac001,male,head,EH,2,None,None,None
gla_rac001,male,hard,AA,3,None,None,None
