Speaker label,Gender,Word,Vowel Phoneme,Class Number,Formant 1,Formant 2,Formant 3
alw001,F,Heed,IY,6,3430,7105,None
alw001,F,hid,IH,1,4095,9450,None
alw001,F,head,EH,11,1050,8050,None
alw001,F,had,AE,14,817,5444,9528
alw001,F,hard,AA,3,2654,6942,10412
alw001,F,Hudd,AH,4,5784,None,None
alw001,F,hod,AA,3,4116,9408,None
alw001,F,heard,ER,7,4900,9800,None
alw001,F,hoard,AO,8,5433,10226,None
alw001,F,hood,UH,13,3308,9922,None
alw001,F,who'd,UW,12,2205,6370,10045
alw001,F,hade,EY,2,4031,8061,None
alw001,F,hid,IH,1,1897,5453,10195
alw001,F,hoid,OY,10,1660,5690,9484
alw001,F,hoed,OW,5,891,4455,9577
alw001,F,howd,AW,9,1260,5040,8400
alw001,F,heered,IY,6,3360,6510,9870
alw001,F,hared,EH,11,4074,8149,None
alw001,F,hured,ER,7,1081,4756,8431
alw001,F,heed,IY,6,3802,9124,None
